,ElapsedTime,Swordfish,Bath
227,87.0,50.6,50.6
228,88.0,50.6,50.6
229,90.0,50.6,50.6
230,90.0,50.6,50.6
231,90.0,50.6,50.6
232,90.0,50.6,50.6
233,91.0,50.6,50.6
234,91.0,50.6,50.6
235,91.0,50.6,50.6
236,91.0,50.6,50.6
237,92.0,50.6,50.6
238,93.0,50.6,50.6
239,93.0,50.6,50.6
240,93.0,50.6,50.6
241,93.0,50.6,50.6
242,94.0,50.6,50.6
243,94.0,50.6,50.6
244,94.0,50.6,50.6
245,94.0,50.6,50.6
246,96.0,50.6,50.6
247,97.0,50.6,50.6
248,97.0,50.6,50.6
249,97.0,50.6,50.6
250,97.0,50.6,50.6
251,98.0,50.6,50.6
252,98.0,50.6,50.6
253,98.0,50.6,50.6
254,98.0,50.6,50.6
255,99.0,50.6,50.6
256,99.0,50.6,50.6
257,99.0,50.6,50.6
258,99.0,50.6,50.6
259,100.0,50.6,50.6
260,100.0,50.6,50.6
261,100.0,50.6,50.6
262,100.0,50.6,50.6
263,102.0,50.6,50.6
264,103.0,50.6,50.6
265,103.0,50.6,50.6
266,103.0,50.6,50.6
267,103.0,50.6,50.6
268,104.0,50.6,50.6
269,104.0,50.6,50.6
270,104.0,50.6,50.6
271,104.0,50.6,50.6
272,105.0,50.6,50.6
273,106.0,50.6,50.6
274,106.0,50.6,50.6
275,106.0,50.6,50.6
276,106.0,50.6,50.6
277,107.0,50.6,50.6
278,108.0,50.6,50.6
279,109.0,50.6,50.6
280,110.0,50.6,50.6
281,110.0,50.6,50.6
282,110.0,50.6,50.6
283,110.0,50.6,50.6
284,111.0,50.6,50.6
285,111.0,50.6,50.6
286,111.0,50.6,50.6
287,111.0,50.6,50.6
288,112.0,50.6,50.6
289,112.0,50.6,50.6
290,112.0,50.6,50.6
291,112.0,50.6,50.6
292,113.0,50.6,50.6
293,115.0,50.6,50.6
294,115.0,50.6,50.6
295,115.0,50.6,50.6
296,115.0,50.6,50.6
297,116.0,50.6,50.6
298,116.0,50.6,50.0
299,116.0,50.6,50.6
300,116.0,50.6,50.0
301,117.0,50.6,50.6
302,117.0,50.6,50.6
303,117.0,50.6,50.6
304,117.0,50.6,50.6
305,118.0,50.6,50.6
306,119.0,50.6,50.6
307,119.0,50.6,50.6
308,119.0,50.6,50.6
309,119.0,50.6,50.6
310,121.0,50.6,50.6
311,121.0,50.6,50.6
312,121.0,50.6,50.6
313,121.0,50.6,50.6
314,122.0,50.6,50.6
315,123.0,50.6,50.6
316,123.0,50.6,50.6
317,123.0,50.6,50.6
318,123.0,50.6,50.6
319,124.0,50.6,50.6
320,124.0,50.6,50.6
321,124.0,50.6,50.6
322,124.0,50.6,50.6
323,125.0,50.6,50.6
324,125.0,50.6,50.6
325,125.0,50.6,50.6
326,125.0,50.6,50.6
327,127.0,31.1,25.0
328,128.0,28.3,23.3
329,128.0,28.3,22.8
330,128.0,26.7,23.3
331,128.0,26.7,22.8
332,129.0,25.6,22.8
333,129.0,25.6,22.8
334,129.0,25.0,22.8
335,129.0,25.0,22.8
336,130.0,25.0,22.8
337,131.0,24.4,23.3
338,131.0,24.4,23.3
339,131.0,24.4,23.3
340,131.0,24.4,23.3
341,132.0,24.4,23.9
342,133.0,23.9,23.9
343,134.0,23.9,23.9
344,135.0,23.9,23.3
345,135.0,23.9,23.3
346,135.0,23.9,23.3
347,135.0,23.9,23.3
348,136.0,23.9,23.3
